time,amplitude
5110.92919922,0.15686275
5110.92919922,0.07843138
5110.92919922,1.03921568
5110.92919922,2.52941179
5110.93701172,3.00000000
5110.93701172,1.96078432
5110.93701172,0.43137255
5110.94970703,0.07843138
5110.94970703,0.25490198
5110.94970703,1.47058821
5110.94970703,2.74509811
5110.96240234,2.92156863
5110.96240234,1.33333337
5110.96240234,0.23529412
5110.96240234,0.05882353
5110.97021484,0.52941179
5110.97021484,2.00000000
5110.98291016,2.45098042
5110.98291016,0.78431374
5110.98291016,0.15686275
5110.98291016,0.07843138
5110.99462891,1.05882359
5110.99462891,2.60784316
5110.99462891,3.11764717
5110.99462891,2.01960778
5111.00683594,0.41176471
5111.00683594,0.03921569
5111.00683594,0.21568628
5111.00683594,1.47058821
5111.01513672,2.82352948
5111.01513672,3.01960778
5111.01513672,1.37254906
5111.02783203,0.19607843
5111.02783203,0.01960784
5111.02783203,0.54901963
5111.02783203,2.03921580
5111.04003906,3.03921580
5111.04003906,2.54901958
5111.04003906,0.80392158
5111.04003906,0.11764706
5111.05273438,0.03921569
5111.05273438,1.07843137
5111.05273438,2.58823538
5111.05273438,3.09803915
5111.06054688,2.01960778
5111.06054688,0.39215687
5111.06054688,0.01960784
5111.07275391,0.21568628
5111.07275391,1.49019611
5111.07275391,2.82352948
5111.07275391,3.01960778
5111.08496094,1.37254906
5111.08496094,0.19607843
5111.08496094,0.00000000
5111.08496094,0.49019608
5111.09277344,2.01960778
5111.09277344,3.03921580
5111.10546875,0.78431374
5111.10546875,0.11764706
5111.10546875,0.03921569
5111.10546875,1.01960790
5111.11767578,2.58823538
5111.11767578,3.09803915
5111.11767578,2.01960778
5111.11767578,0.39215687
5111.12988281,0.03921569
5111.12988281,0.23529412
5111.12988281,1.49019611
5111.12988281,2.82352948
5111.13867188,3.01960778
5111.13867188,1.39215684
5111.15039063,0.01960784
5111.15039063,0.54901963
5111.15039063,2.01960778
5111.15039063,3.03921580
5111.16259766,2.56862736
5111.16259766,0.80392158
5111.16259766,0.11764706
5111.16259766,0.03921569
5111.17529297,1.00000000
5111.17529297,2.58823538
5111.17529297,3.09803915
5111.17529297,2.01960778
5111.18310547,0.41176471
5111.18310547,0.03921569
5111.18310547,0.21568628
5111.19580078,1.47058821
5111.19580078,2.82352948
5111.19580078,3.01960778
5111.19580078,1.39215684
5111.20751953,0.21568628
5111.20751953,0.01960784
5111.20751953,0.56862748
5111.20751953,2.01960778
5111.22021484,3.03921580
5111.22021484,2.56862736
5111.22021484,0.82352942
5111.22021484,0.11764706
5111.22802734,0.03921569
5111.22802734,1.01960790
5111.22802734,2.56862736
5111.24072266,3.09803915
5111.24072266,2.01960778
5111.24072266,0.41176471
5111.24072266,0.03921569
5111.25292969,0.19607843
5111.25292969,1.43137252
5111.25292969,2.82352948
5111.25292969,3.01960778
5111.26123047,1.39215684
5111.26123047,0.21568628
5111.27490234,0.52941179
5111.27490234,2.01960778
5111.27490234,3.03921580
5111.27490234,2.58823538
5111.28564453,0.82352942
5111.28564453,0.11764706
5111.28564453,0.05882353
5111.28564453,1.03921568
5111.29785156,2.58823538
5111.29785156,3.09803915
5111.29785156,2.03921580
5111.29785156,0.41176471
5111.30615234,0.03921569
5111.30615234,0.19607843
5111.30615234,1.41176474
5111.31835938,2.82352948
5111.31835938,3.01960778
5111.31835938,1.39215684
5111.31835938,0.21568628
5111.33105469,0.01960784
5111.33105469,0.47058824
5111.33105469,2.01960778
5111.33105469,3.03921580
5111.34277344,2.58823538
5111.34277344,0.82352942
5111.34277344,0.13725491
5111.34277344,0.05882353
5111.35156250,1.05882359
5111.35156250,2.56862736
5111.35156250,3.09803915
5111.36328125,2.05882359
5111.36328125,0.43137255
5111.36328125,0.03921569
5111.36328125,0.25490198
5111.37597656,1.50980389
5111.37597656,2.82352948
5111.37597656,3.03921580
5111.37597656,1.43137252
5111.38818359,0.23529412
5111.38818359,0.01960784
5111.38818359,0.54901963
5111.38818359,2.01960778
5111.39648438,3.03921580
5111.39648438,2.58823538
5111.39648438,0.82352942
5111.40869141,0.13725491
5111.40869141,0.03921569
5111.40869141,0.98039216
5111.40869141,2.56862736
5111.42089844,3.09803915
5111.42089844,2.03921580
5111.42089844,0.43137255
5111.42089844,0.03921569
5111.42871094,0.19607843
5111.42871094,1.45098042
5111.44140625,3.03921580
5111.44140625,1.43137252
5111.44140625,0.21568628
5111.44140625,0.01960784
5111.45361328,0.52941179
5111.45361328,2.00000000
5111.45361328,3.05882359
5111.45361328,2.60784316
5111.46630859,0.84313726
5111.46630859,0.13725491
5111.46630859,0.05882353
5111.46630859,0.98039216
5111.47412109,2.56862736
5111.47412109,3.11764717
5111.47412109,2.05882359
5111.48681641,0.43137255
5111.48681641,0.03921569
5111.48681641,0.19607843
5111.48681641,1.45098042
5111.49853516,2.84313726
5111.49853516,3.05882359
5111.49853516,1.43137252
5111.49853516,0.21568628
5111.51074219,0.01960784
5111.51074219,0.52941179
5111.51074219,2.01960778
