Время (с),A0 (В),A2 (В)
0.0,2.588,1.314
0.0,2.627,1.510
0.0,2.647,1.510
0.0,2.667,1.608
0.0010020732879638672,2.647,1.706
0.0010020732879638672,2.647,1.843
0.0010020732879638672,2.627,2.020
0.0010020732879638672,2.588,2.098
0.0010020732879638672,2.588,2.196
0.0010020732879638672,2.549,2.294
0.0010020732879638672,2.549,2.235
0.0010020732879638672,2.510,2.196
0.0010020732879638672,2.490,2.235
0.0010020732879638672,2.471,2.118
0.0010020732879638672,2.412,2.118
0.0010020732879638672,2.353,2.020
0.0019986629486083984,2.333,2.000
0.0019986629486083984,2.216,2.157
0.0019986629486083984,2.216,2.078
0.0019986629486083984,2.137,2.157
0.0019986629486083984,2.098,2.176
0.0019986629486083984,2.098,2.216
0.0019986629486083984,2.118,2.118
0.0019986629486083984,2.275,2.176
0.0019986629486083984,2.294,2.157
0.0019986629486083984,2.373,2.157
0.0019986629486083984,2.451,2.137
0.0019986629486083984,2.510,2.255
0.0029981136322021484,2.529,2.294
0.0029981136322021484,2.490,2.373
0.0029981136322021484,2.549,2.569
0.0029981136322021484,2.529,2.667
0.0029981136322021484,2.588,2.784
0.0033860206604003906,2.627,2.725
0.0033860206604003906,2.667,2.725
0.0033860206604003906,2.667,2.725
0.0033860206604003906,2.765,2.608
0.0033860206604003906,2.784,2.627
0.0033860206604003906,2.804,2.725
0.0033860206604003906,2.824,2.941
0.0033860206604003906,2.824,2.941
0.0033860206604003906,2.824,3.098
0.004408121109008789,2.804,3.118
0.004408121109008789,2.784,3.137
0.004408121109008789,2.784,3.098
0.004408121109008789,2.725,3.000
0.004408121109008789,2.667,2.843
0.004408121109008789,2.569,2.824
0.004408121109008789,2.588,2.804
0.004408121109008789,2.510,2.745
0.004408121109008789,2.471,2.843
0.004408121109008789,2.471,2.804
0.004408121109008789,2.510,2.941
0.004408121109008789,2.549,2.843
0.005410194396972656,2.549,2.961
0.005410194396972656,2.569,2.784
0.005410194396972656,2.608,2.608
0.005410194396972656,2.627,2.569
0.005410194396972656,2.608,2.490
0.005410194396972656,2.627,2.431
0.005410194396972656,2.588,2.255
0.005410194396972656,2.569,2.176
0.005410194396972656,2.529,2.157
0.005410194396972656,2.510,2.118
0.006407737731933594,2.471,1.980
0.006407737731933594,2.451,1.961
0.006407737731933594,2.431,1.980
0.006407737731933594,2.373,1.784
0.006407737731933594,2.353,1.745
0.006407737731933594,2.353,1.627
0.006407737731933594,2.353,1.569
0.006407737731933594,2.314,1.588
0.006407737731933594,2.294,1.549
0.006407737731933594,2.275,1.549
0.006407737731933594,2.235,1.647
0.007407188415527344,2.255,1.647
0.007407188415527344,2.196,1.706
0.007407188415527344,2.157,1.824
0.007407188415527344,2.157,1.843
