Время (с),A0 (В),A1 (В)
0.0010089874267578125,2.765,
0.0010089874267578125,1.784,
0.0010089874267578125,2.608,
0.0010089874267578125,1.961,
0.0010089874267578125,2.765,
0.0010089874267578125,2.078,
0.0020112991333007812,2.980,
0.0020112991333007812,2.412,
0.0020112991333007812,2.902,
0.0020112991333007812,2.078,
0.0020112991333007812,3.020,
0.0020112991333007812,2.020,
0.0030074119567871094,2.686,
0.0030074119567871094,2.176,
0.0030074119567871094,3.333,
0.0030074119567871094,2.529,
0.0030074119567871094,2.725,
0.0030074119567871094,1.647,
0.0030074119567871094,2.961,
0.0030074119567871094,2.118,
0.0030074119567871094,2.314,
0.0030074119567871094,0.882,
0.004513740539550781,2.039,
0.004513740539550781,1.784,
0.004513740539550781,2.941,
0.004513740539550781,2.471,
0.004513740539550781,2.686,
0.004513740539550781,1.980,
0.004513740539550781,3.059,
0.004513740539550781,2.059,
0.004513740539550781,2.353,
0.004513740539550781,1.490,
0.004513740539550781,1.980,
0.004513740539550781,1.647,
0.006035566329956055,2.706,
0.006035566329956055,2.333,
0.006035566329956055,3.000,
0.006035566329956055,2.824,
0.008042573928833008,3.039,
0.020679473876953125,2.431,
0.028403043746948242,2.863,
0.040933847427368164,2.706,
0.048448801040649414,2.549,
0.06097221374511719,2.549,
0.0695655345916748,3.373,
0.08169150352478027,2.902,
0.08971500396728516,2.980,
0.09859108924865723,2.627,
0.11084747314453125,3.118,
0.11838126182556152,2.529,
0.1313304901123047,2.745,
0.13918066024780273,2.451,
0.15184426307678223,2.647,
0.1595163345336914,2.863,
0.17139434814453125,2.804,
0.17939424514770508,2.275,
0.18771672248840332,2.745,
0.20074677467346191,2.608,
0.208266019821167,2.510,
0.2209150791168213,2.098,
0.22942328453063965,2.392,
0.24149680137634277,2.647,
0.25011110305786133,2.765,
0.25739526748657227,2.941,
0.2700526714324951,3.451,
0.27756333351135254,2.529,
0.2906177043914795,2.471,
0.2991328239440918,2.059,
0.31067323684692383,1.922,
0.3192713260650635,2.000,
0.331805944442749,1.784,
0.33982062339782715,2.118,
0.3523871898651123,2.314,
0.359403133392334,2.569,
0.37247252464294434,2.392,
0.38108372688293457,2.490,
0.3887653350830078,2.333,
0.4012880325317383,2.373,
0.4098045825958252,2.216,
0.42135071754455566,2.745,
0.42986106872558594,2.686,
0.44188857078552246,3.196,
0.4505183696746826,2.882,
0.4626026153564453,2.725,
0.4706263542175293,2.294,
0.4823894500732422,2.431,
0.49109506607055664,2.255,
0.504141092300415,2.569,
0.5112648010253906,2.353,
0.5244853496551514,2.588,
0.5325472354888916,2.804,
0.5444328784942627,3.216,
0.5529425144195557,1.902,
0.5600008964538574,1.627,
0.5724852085113525,1.510,
0.581017255783081,2.275,
0.5940403938293457,1.745,
0.6015727519989014,1.922,
0.614598274230957,1.961,
0.6219568252563477,2.902,
0.6350128650665283,2.882,
0.6426658630371094,2.863,
0.6511826515197754,2.647,
0.6632030010223389,3.039,
0.6712307929992676,2.549,
0.683905839920044,3.000,
0.6919238567352295,2.863,
0.7040719985961914,3.118,
0.7115797996520996,2.765,
0.7248785495758057,2.627,
0.7323904037475586,2.157,
0.7410125732421875,2.745,
0.7535660266876221,2.745,
0.7621169090270996,3.255,
0.7743220329284668,2.745,
0.7824246883392334,2.333,
0.7949674129486084,1.980,
0.8022260665893555,2.647,
0.8147585391998291,2.529,
0.822784423828125,2.765,
0.8353347778320312,2.098,
0.8438806533813477,2.020,
0.855478048324585,1.745,
0.8641340732574463,1.941,
0.87270188331604,2.137,
0.8848347663879395,2.588,
0.8923473358154297,1.882,
0.9049286842346191,1.804,
0.9129457473754883,1.784,
0.9260072708129883,2.412,
0.9340510368347168,2.353,
0.9417543411254883,2.255,
0.9546763896942139,2.235,
0.9624764919281006,2.314,
0.9751932621002197,2.078,
0.983283281326294,2.039,
0.9948267936706543,2.216,
1.0038938522338867,2.451,
1.0154216289520264,3.000,
1.0242576599121094,3.176,
1.035938024520874,2.784,
1.0439562797546387,2.686,
1.0566723346710205,2.490,
1.064687728881836,2.647,
1.0726830959320068,2.196,
1.0852746963500977,1.902,
1.0933475494384766,2.137,
1.1063714027404785,2.529,
1.113563060760498,2.549,
1.1265852451324463,2.588,
1.1346063613891602,2.020,
1.147047758102417,2.000,
