Время (с),A0 (В),A1 (В)
0.0010089874267578125,2.412,
0.0010089874267578125,2.608,
0.0010089874267578125,2.216,
0.0010089874267578125,1.255,
0.0010089874267578125,1.235,
0.0010089874267578125,2.000,
0.0010089874267578125,2.431,
0.0010089874267578125,2.804,
0.0020062923431396484,2.706,
0.0020062923431396484,3.039,
0.0020062923431396484,3.686,
0.0020062923431396484,4.255,
0.0020062923431396484,4.039,
0.0020062923431396484,4.294,
0.0020062923431396484,4.235,
0.0020062923431396484,3.784,
0.0020062923431396484,3.451,
0.0020062923431396484,3.549,
0.0020062923431396484,3.706,
0.0020062923431396484,3.510,
0.003006458282470703,3.471,
0.003006458282470703,2.902,
0.003006458282470703,2.765,
0.003006458282470703,2.294,
0.003006458282470703,2.725,
0.003006458282470703,2.373,
0.003006458282470703,2.412,
0.003006458282470703,2.294,
0.003006458282470703,2.216,
0.003006458282470703,1.294,
0.003006458282470703,0.686,
0.003006458282470703,0.333,
0.0045130252838134766,1.098,
0.0045130252838134766,1.333,
0.0045130252838134766,1.647,
0.0045130252838134766,0.804,
0.0045130252838134766,1.725,
0.0045130252838134766,1.196,
0.010060787200927734,2.235,
0.018653154373168945,1.765,
0.03104996681213379,2.451,
0.038634538650512695,1.941,
0.05092287063598633,2.373,
0.05953645706176758,1.647,
0.07217788696289062,2.471,
0.08022642135620117,0.843,
0.08872795104980469,1.431,
0.10078930854797363,1.137,
0.10857129096984863,1.784,
0.12061285972595215,1.078,
0.1294269561767578,2.471,
0.1419205665588379,1.961,
0.14995646476745605,2.941,
0.16203880310058594,2.059,
0.17057466506958008,3.392,
0.17861056327819824,2.196,
0.19025754928588867,2.490,
0.19878578186035156,1.608,
0.21081805229187012,2.627,
0.2193446159362793,1.902,
0.23190879821777344,2.588,
0.24005866050720215,1.824,
0.2525153160095215,3.196,
0.2603034973144531,2.373,
0.27225327491760254,3.059,
0.28123044967651367,2.275,
0.2934577465057373,3.059,
0.30150771141052246,1.686,
0.3137786388397217,2.765,
0.32148003578186035,1.471,
0.33412623405456543,3.059,
0.3424227237701416,1.667,
0.34953951835632324,3.098,
0.3624236583709717,1.412,
0.3714456558227539,2.686,
0.3836531639099121,1.137,
0.39068174362182617,2.451,
0.40332579612731934,1.000,
0.4123680591583252,2.667,
0.42426419258117676,1.353,
0.43232154846191406,2.843,
0.4403831958770752,1.647,
0.4530324935913086,3.471,
