Время (с),A0 (В),A1 (В)
0.0,2.882,
0.0010199546813964844,2.627,
0.0010199546813964844,2.843,
0.0010199546813964844,2.745,
0.0010199546813964844,2.941,
0.0010199546813964844,2.647,
0.0010199546813964844,2.784,
0.0010199546813964844,2.863,
0.0020084381103515625,3.549,
0.0020084381103515625,3.902,
0.0020084381103515625,4.431,
0.0020084381103515625,4.314,
0.0020084381103515625,4.353,
0.0020084381103515625,3.608,
0.0020084381103515625,3.118,
0.0020084381103515625,2.314,
0.0020084381103515625,2.157,
0.003015756607055664,1.902,
0.003015756607055664,1.725,
0.003015756607055664,1.510,
0.003015756607055664,1.431,
0.003015756607055664,1.255,
0.003015756607055664,1.431,
0.003015756607055664,1.431,
0.003015756607055664,1.529,
0.003015756607055664,1.549,
0.00400543212890625,1.765,
0.00400543212890625,1.824,
0.00400543212890625,1.902,
0.00400543212890625,1.745,
0.00400543212890625,1.902,
0.00400543212890625,1.902,
0.00400543212890625,1.980,
0.00400543212890625,2.000,
0.00400543212890625,2.078,
0.005005359649658203,2.216,
0.005005359649658203,2.255,
0.005005359649658203,2.255,
0.011571884155273438,2.157,
0.020479202270507812,2.333,
0.033069610595703125,2.451,
0.041205644607543945,2.588,
0.04821324348449707,2.569,
0.060358524322509766,2.569,
0.06998610496520996,2.529,
0.08155989646911621,2.686,
0.08959507942199707,2.647,
0.10219335556030273,2.608,
0.11081743240356445,2.569,
0.12306737899780273,2.569,
0.13117527961730957,2.412,
0.1393747329711914,2.275,
0.15190815925598145,2.275,
0.15945911407470703,2.510,
0.17160463333129883,2.490,
0.18018531799316406,2.510,
0.1922910213470459,2.549,
0.2003190517425537,2.647,
0.2120659351348877,2.549,
0.2205967903137207,2.588,
0.2296135425567627,2.549,
0.2411954402923584,2.588,
0.2508535385131836,2.608,
0.261624813079834,2.667,
0.27065610885620117,2.529,
0.28295087814331055,2.471,
0.29046630859375,2.471,
0.30324459075927734,2.588,
0.31130242347717285,2.412,
0.32347917556762695,2.431,
0.3312397003173828,2.235,
0.3442814350128174,2.314,
0.35231947898864746,2.255,
0.3605337142944336,2.314,
0.37250208854675293,2.431,
0.3800048828125,2.510,
0.3934178352355957,2.294,
0.4014577865600586,2.412,
0.41401076316833496,2.333,
0.42154431343078613,2.490,
0.43023252487182617,2.510,
0.4417750835418701,2.627,
0.4508693218231201,2.549,
0.46292686462402344,2.667,
0.47097349166870117,2.667,
0.48306941986083984,2.667,
0.4911201000213623,2.667,
0.5034091472625732,2.686,
0.5114891529083252,2.667,
0.5240862369537354,2.588,
0.5322918891906738,2.510,
0.5445618629455566,2.490,
0.5532281398773193,2.490,
0.5607442855834961,2.490,
0.5734024047851562,2.451,
0.5819661617279053,2.431,
0.5935149192810059,2.353,
0.6023619174957275,2.255,
0.6143414974212646,2.235,
0.621574878692627,2.314,
0.6350221633911133,2.510,
0.643049955368042,2.490,
0.6511349678039551,2.451,
0.6637229919433594,2.529,
0.6717760562896729,2.471,
0.6842241287231445,2.314,
0.6917965412139893,2.373,
0.7044143676757812,2.373,
0.7124559879302979,2.373,
0.7247660160064697,2.431,
0.7333729267120361,2.627,
0.7414271831512451,2.706,
0.7540485858917236,2.608,
0.7619361877441406,2.549,
0.7738659381866455,2.588,
0.781876802444458,2.588,
0.7950506210327148,2.608,
0.8029739856719971,2.549,
0.8151516914367676,2.647,
0.8228621482849121,2.686,
0.8356072902679443,2.667,
0.8436198234558105,2.608,
0.8558776378631592,2.490,
0.8643360137939453,2.490,
0.8725051879882812,2.392,
0.8840858936309814,2.431,
0.8922922611236572,2.471,
0.9053430557250977,2.529,
0.913832426071167,2.392,
0.9257535934448242,2.373,
0.9342560768127441,2.451,
0.9423010349273682,2.549,
0.9534866809844971,2.510,
0.9620459079742432,2.392,
0.9741039276123047,2.275,
0.9868795871734619,2.392,
0.995506763458252,2.392,
1.0079138278961182,2.471,
1.0159411430358887,2.588,
1.0279674530029297,3.039,
1.036557674407959,3.176,
1.0441317558288574,3.235,
1.056652307510376,2.863,
1.0646698474884033,2.725,
1.0777428150177002,2.529,
1.0858204364776611,2.471,
1.0975027084350586,2.216,
1.1055793762207031,2.392,
1.1141724586486816,2.412,
1.1268222332000732,2.294,
1.1344823837280273,2.118,
1.1470587253570557,2.255,
1.1547908782958984,2.098,
1.1676411628723145,2.098,
1.175147533416748,1.980,
1.1881978511810303,2.137,
1.1962506771087646,2.078,
1.204622745513916,2.431,
1.216672420501709,2.529,
1.2241852283477783,2.706,
