Время (с),A0 (В),A2 (В)
0.0,2.216,
0.0,2.176,
0.0,1.980,
0.0,1.980,
0.0,2.235,
0.0,2.373,
0.000997781753540039,2.333,
0.000997781753540039,2.373,
0.000997781753540039,2.451,
0.000997781753540039,2.392,
0.000997781753540039,2.255,
0.000997781753540039,2.176,
0.000997781753540039,2.235,
0.000997781753540039,2.314,
0.000997781753540039,2.294,
0.000997781753540039,2.373,
0.000997781753540039,2.529,
0.000997781753540039,2.765,
0.001997709274291992,2.824,
0.001997709274291992,2.882,
0.001997709274291992,2.941,
0.001997709274291992,3.098,
0.001997709274291992,3.196,
0.001997709274291992,3.255,
0.001997709274291992,3.137,
0.001997709274291992,3.235,
0.001997709274291992,3.216,
0.001997709274291992,3.020,
0.0029973983764648438,2.804,
0.0029973983764648438,2.843,
0.0029973983764648438,2.843,
0.0029973983764648438,2.902,
0.0029973983764648438,2.706,
0.0029973983764648438,2.667,
0.0029973983764648438,2.451,
0.0029973983764648438,2.431,
0.0029973983764648438,2.373,
0.0029973983764648438,2.373,
0.008996963500976562,2.118,
0.01699686050415039,2.176,
0.029276371002197266,2.118,
0.037384033203125,2.157,
0.0464022159576416,2.098,
0.058402299880981445,2.078,
0.06603431701660156,1.804,
0.07908296585083008,1.824,
0.08709502220153809,1.863,
0.09954190254211426,2.000,
0.10762786865234375,1.863,
0.11962580680847168,1.961,
0.12762784957885742,1.941,
0.1409440040588379,2.059,
0.14819979667663574,2.118,
0.16116857528686523,2.235,
0.16870808601379395,2.549,
0.17670798301696777,2.706,
0.18892383575439453,2.706,
0.19713211059570312,2.882,
0.21012353897094727,2.882,
0.21824049949645996,2.882,
0.23034048080444336,2.549,
0.23833346366882324,2.549,
0.25134706497192383,2.549,
0.2593569755554199,2.706,
0.26688170433044434,2.569,
0.2791252136230469,2.843,
0.2876427173614502,2.627,
0.29967260360717773,2.667,
0.3086717128753662,2.647,
0.3206822872161865,2.745,
0.3288099765777588,2.647,
0.3408849239349365,2.627,
0.34890317916870117,2.510,
0.36188793182373047,2.627,
0.3694281578063965,2.216,
0.3827245235443115,2.118,
0.3897430896759033,2.157,
0.3987445831298828,2.392,
0.41085195541381836,2.314,
0.4188411235809326,2.431,
0.4311187267303467,2.431,
0.4393656253814697,2.667,
0.45139431953430176,2.667,
0.4593949317932129,2.843,
0.4721860885620117,2.941,
0.48033952713012695,3.039,
0.4923372268676758,3.020,
0.5003280639648438,2.961,
0.5125918388366699,2.824,
0.5207757949829102,2.725,
0.529775857925415,2.647,
0.5412333011627197,2.569,
0.5493745803833008,2.275,
0.562218189239502,2.078,
0.5702242851257324,2.196,
0.5827138423919678,2.235,
0.5908868312835693,2.157,
0.5988743305206299,2.216,
0.610886812210083,2.078,
0.6198868751525879,2.118,
0.6318869590759277,2.039,
0.6400361061096191,2.078,
0.6521718502044678,2.137,
0.6601686477661133,2.235,
0.6731908321380615,2.294,
0.681236743927002,2.412,
0.6895477771759033,2.529,
0.701662540435791,2.706,
0.709665060043335,2.745,
0.7216641902923584,2.686,
0.7297899723052979,2.647,
0.742887020111084,2.765,
0.7509169578552246,2.824,
0.7625389099121094,2.804,
0.7706449031829834,2.765,
0.7796449661254883,2.804,
0.791644811630249,2.784,
0.7996351718902588,2.667,
0.8117520809173584,2.608,
0.8197526931762695,2.627,
0.8322923183441162,2.529,
0.8404347896575928,2.353,
0.8534440994262695,2.353,
0.861454963684082,2.255,
0.8736324310302734,2.235,
0.8816330432891846,2.412,
0.8936328887939453,2.392,
0.9026200771331787,2.196,
0.910632848739624,2.235,
0.9226329326629639,2.314,
0.9307689666748047,2.157,
0.9428839683532715,2.235,
0.9508895874023438,2.353,
0.964022159576416,2.373,
0.9720215797424316,2.353,
0.9842274188995361,2.412,
0.9923379421234131,2.647,
1.0043373107910156,2.784,
1.0125641822814941,2.980,
1.024662971496582,2.980,
1.0336806774139404,2.804,
1.0416882038116455,2.804,
1.0541868209838867,2.647,
1.0617220401763916,2.647,
1.0737745761871338,2.549,
1.0827629566192627,2.588,
1.094874620437622,2.784,
1.1028878688812256,2.824,
1.110877275466919,2.863,
1.123143196105957,2.706,
1.1312344074249268,2.588,
1.1442220211029053,2.529,
1.1522300243377686,2.647,
1.1647684574127197,2.373,
1.172755241394043,2.216,
1.184753656387329,2.137,
1.1928210258483887,2.196,
1.2008907794952393,2.235,
1.2138915061950684,2.451,
1.2218904495239258,2.353,
1.2340452671051025,2.314,
1.242236852645874,2.294,
1.2542645931243896,2.412,
1.2624101638793945,2.510,
1.275031328201294,2.725,
1.2830524444580078,2.686,
1.291041612625122,2.706,
1.304044485092163,2.824,
1.3120455741882324,2.863,
1.3241658210754395,2.667,
1.3321540355682373,2.784,
1.3442356586456299,2.804,
1.3532352447509766,2.471,
1.3648285865783691,2.373,
1.3728280067443848,2.294,
1.3858275413513184,2.078,
1.3938279151916504,2.078,
1.4058282375335693,2.020,
1.4138340950012207,1.941,
1.4228229522705078,2.039,
1.4350275993347168,2.157,
1.4430270195007324,2.176,
1.4547693729400635,2.157,
1.463446855545044,2.235,
1.475463628768921,2.098,
1.4834668636322021,2.118,
1.4966254234313965,2.196,
1.5046253204345703,2.275,
1.5166165828704834,2.451,
1.5246155261993408,2.529,
1.5367345809936523,2.588,
1.5457360744476318,2.569,
1.5537500381469727,2.608,
1.5660789012908936,2.647,
1.5738441944122314,2.745,
1.5860600471496582,2.647,
1.594146728515625,2.627,
1.6071465015411377,2.647,
1.6151463985443115,2.529,
1.6231465339660645,2.471,
1.6351349353790283,2.647,
1.6442317962646484,2.804,
1.6563332080841064,2.922,
1.6638259887695312,2.725,
1.676051139831543,2.725,
1.684159278869629,2.706,
1.6971542835235596,2.490,
1.7051427364349365,2.314,
1.717355728149414,2.314,
1.725322961807251,2.314,
1.7373230457305908,2.196,
1.7464475631713867,2.157,
1.7545335292816162,2.431,
1.766686201095581,2.333,
1.7746880054473877,2.196,
1.7867827415466309,2.333,
1.7949066162109375,2.314,
1.8082232475280762,2.353,
1.8151602745056152,2.569,
1.828390121459961,2.608,
1.8364100456237793,2.804,
1.8484420776367188,2.667,
1.856482982635498,2.725,
1.8687891960144043,2.647,
1.8768889904022217,2.647,
1.8848896026611328,2.353,
1.8978893756866455,2.275,
1.9058895111083984,2.196,
1.9187672138214111,2.275,
1.926086664199829,2.118,
1.938096523284912,2.098,
1.9470865726470947,2.176,
1.959275722503662,2.294,
1.9668164253234863,2.255,
1.975816011428833,2.392,
1.9878153800964355,2.373,
1.9958157539367676,2.490,
2.008021593093872,2.490,
2.016021966934204,2.745,
2.029104232788086,2.569,
2.0371885299682617,2.667,
2.049194097518921,2.490,
2.0572128295898438,2.549,
2.0698535442352295,2.412,
2.0774192810058594,2.412,
2.0904271602630615,2.294,
2.098419189453125,2.412,
2.106419086456299,2.431,
2.1187257766723633,2.451,
2.1268513202667236,2.314,
2.138850688934326,2.569,
2.1478512287139893,2.510,
2.1599881649017334,2.608,
2.167618989944458,2.549,
2.1761369705200195,2.784,
2.187851905822754,2.745,
2.1970090866088867,2.941,
2.2085342407226562,2.843,
2.217534065246582,2.725,
2.2296218872070312,2.549,
2.2372994422912598,2.608,
2.2493834495544434,2.353,
2.2584006786346436,2.569,
2.2659363746643066,2.569,
2.2789366245269775,2.569,
2.2870278358459473,2.255,
2.29911732673645,2.373,
2.307117223739624,2.235,
2.319117307662964,2.235,
2.328120708465576,1.980,
2.3402063846588135,1.824,
2.3482954502105713,1.824,
2.360313892364502,2.000,
2.3685333728790283,1.843,
2.3807337284088135,2.196,
2.388812780380249,2.412,
2.397812604904175,2.549,
2.4098126888275146,2.647,
2.417884349822998,2.804,
2.429884195327759,2.784,
2.4379942417144775,2.784,
2.4510116577148438,2.608,
2.459012031555176,2.588,
2.4711849689483643,2.588,
2.479184865951538,2.706,
2.48718523979187,2.647,
2.4998111724853516,2.686,
2.5079140663146973,2.608,
2.519913673400879,2.647,
2.5280027389526367,2.725,
2.541085720062256,2.686,
2.54907488822937,2.588,
2.561222553253174,2.569,
2.56927227973938,2.569,
2.5814225673675537,2.549,
2.5900380611419678,2.471,
2.6020357608795166,2.412,
2.610037326812744,2.294,
2.6180379390716553,2.118,
2.631037473678589,2.137,
2.6391494274139404,2.373,
2.651167869567871,2.510,
2.659168004989624,2.588,
2.671718120574951,2.647,
2.679718017578125,2.686,
2.687819480895996,2.608,
2.6999762058258057,2.569,
2.7089755535125732,2.588,
2.7209761142730713,2.549,
2.7289679050445557,2.569,
2.741159200668335,2.431,
2.749243974685669,2.373,
2.762269973754883,2.353,
2.7698137760162354,2.392,
2.777808427810669,2.392,
2.791016101837158,2.588,
2.799100160598755,2.588,
2.8110997676849365,2.588,
2.819707155227661,2.471,
2.831777811050415,2.608,
2.8397774696350098,2.627,
2.8519043922424316,2.588,
2.8606512546539307,2.608,
2.8721749782562256,2.765,
2.8801751136779785,2.804,
2.892784833908081,2.824,
2.900864362716675,2.784,
2.9088644981384277,2.804,
2.921597957611084,2.804,
2.930180549621582,2.686,
2.942185878753662,2.412,
2.9508135318756104,2.294,
2.9629805088043213,2.137,
2.9708871841430664,2.039,
2.9828875064849854,2.118,
2.990886926651001,2.196,
2.999887228012085,2.216,
3.011901617050171,2.294,
3.0199856758117676,2.314,
3.0320959091186523,2.196,
3.04008150100708,2.039,
3.052248954772949,1.961,
3.061251401901245,1.922,
3.072986125946045,1.902,
3.081071615219116,1.980,
3.09407114982605,2.059,
3.1020712852478027,2.353,
3.1140570640563965,2.941,
3.122135877609253,3.333,
3.130220413208008,3.588,
3.1432058811187744,3.863,
3.151350736618042,4.039,
3.1634273529052734,3.922,
3.17193341255188,4.039,
3.183945655822754,3.961,
3.1921701431274414,3.765,
3.19978666305542,3.529,
3.212785482406616,3.255,
3.2208704948425293,3.235,
3.232856273651123,3.176,
3.2457332611083984,2.667,
3.253218173980713,2.529,
3.261218786239624,2.373,
3.273841619491577,2.196,
3.2819302082061768,1.980,
3.2939298152923584,1.686,
3.3029301166534424,1.412,
3.3149631023406982,1.392,
3.322986125946045,1.608,
3.3315131664276123,1.647,
3.3435089588165283,1.588,
